X,Y,Z,ROLL,PITCH,YAW
-1.565,0.958,-1.51,0.23842,0.30714,-0.05414
-1.885,0.931,-1.52,-0.1183,-0.27639,0.11937
-2.0,0.902,-1.53,0.13225,-0.21425,-0.2721
-2.0,0.714,-1.409,-0.25622,-0.15708,0.02905
-2.0,0.469,-1.186,0.08784,-0.06074,0.26668
-2.0,0.422,-0.87,-0.00033,0.0704,-0.25517
-2.0,0.368,-0.661,0.1412,0.11743,-0.08998
-2.0,0.319,-0.521,-0.29813,-0.00349,0.12292
-2.0,0.265,-0.495,-0.09408,-0.257,-0.29396
-2.0,0.247,-0.549,0.11492,0.12386,-0.0961
-2.0,0.275,-0.542,0.22653,-0.17813,0.16404
-2.0,0.253,-0.468,0.29767,0.25748,-0.03895
-2.0,0.048,-0.431,0.32622,-0.2729,0.18173
-2.0,-0.123,-0.34,0.11004,-0.20395,-0.2134
-2.0,-0.231,-0.121,-0.05294,0.24332,0.00225
-2.0,-0.329,0.155,-0.07874,0.14263,0.18225
-2.0,-0.334,0.415,-0.0563,-0.00302,-0.22494
-2.0,-0.41,0.607,0.10805,-0.08531,0.08956
-2.0,-0.691,0.745,-0.2699,-0.09592,0.2872
-2.0,-0.871,0.749,0.08315,0.05011,0.30636
-1.808,-0.94,0.744,-0.18687,0.21004,0.27453
-1.715,-0.902,0.741,0.23053,0.26462,0.28231
-1.684,-0.836,0.659,-0.0843,0.26233,0.32094
-1.64,-0.8,0.529,0.21441,0.12088,-0.16534
-1.572,-0.776,0.418,-0.24775,-0.11805,-0.12015
-1.491,-0.722,0.37,-0.11141,0.20532,-0.12015
-1.424,-0.656,0.352,-0.0292,-0.15033,-0.12015
-1.37,-0.658,0.392,0.06989,0.13351,-0.12015
-1.213,-0.723,0.297,0.2705,0.12007,-0.12015
-1.068,-0.768,0.21,-0.22456,0.12007,-0.12015
-0.972,-0.793,0.119,-0.04685,0.12007,-0.12015
-0.838,-0.771,-0.007,0.02743,0.12007,-0.12015
-0.906,-0.682,-0.106,-0.08761,0.12007,-0.12015
-0.781,-0.788,-0.019,0.03231,0.12007,-0.12015
-0.718,-0.809,0.035,0.22392,0.19435,-0.12015
-0.689,-0.812,0.0,-0.23312,0.27931,-0.12015
-0.593,-0.841,-0.056,-0.12015,-0.32537,-0.12015
-0.398,-1.08,0.253,-0.12015,-0.19575,-0.12015
-0.464,-0.939,-0.083,-0.12015,-0.07178,-0.12015
-0.484,-0.908,-0.278,-0.12015,-0.07002,-0.12015
-0.35,-0.897,-0.259,-0.12015,-0.02934,-0.12015
-0.178,-0.931,-0.15,-0.12015,-0.09285,-0.12015
0.036,-0.998,-0.198,-0.12015,-0.21392,-0.12015
0.319,-1.001,-0.343,-0.12015,-0.24277,-0.12015
0.534,-0.99,-0.449,-0.12015,-0.15094,0.25582
0.696,-1.05,-0.485,-0.12015,-0.02468,-0.22471
0.803,-0.995,-0.477,-0.12015,0.07761,-0.0234
0.841,-0.878,-0.568,-0.12015,0.21021,0.23654
0.844,-0.834,-0.612,-0.12015,-0.24706,0.05227
1.013,-0.863,-0.651,-0.12015,0.06882,-0.06224
1.232,-0.822,-0.78,-0.12015,0.05773,-0.23468
1.394,-0.82,-0.851,-0.12015,-0.28536,0.23358
1.479,-0.98,-0.982,-0.12015,-0.06546,0.06053
-1.219,0.071,1.183,-0.01042,-0.26021,-0.16964
-1.316,0.147,1.205,-0.25372,-0.06187,0.11227
